ObjectID,Object Number,Sort Number,Dept,Maker,Alpha Sort,Title,Date,Begin Date,End Date,Medium,Dimensions,Credit Line,ClassificationTerm,Copyright,Photo Credit,Primary Image URL,Primary Image Filename
47087,x1934-369,1934  369x,P&D,"Albrecht Dürer, Nuremberg 1471–1528 Nuremberg","Dürer, Albrecht",The Engraved Passion,1507–12,1507,1512,Engraving,"sheet (each): 20.5 x 14.3 cm. (8 1/16 x 5 5/8 in.)
book: 21 x 14.6 cm. (8 1/4 x 5 3/4 in.)","Bequest of Junius S. Morgan, Class of 1888","books, engravings",,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/x1934-369.jpg,x1934-369.jpg
20105,y1935-4,1935    4y,EPS,"Jean-Baptiste Siméon Chardin, French, 1699–1779","Chardin, Jean-Baptiste Siméon",Attributes of the Painter,ca. 1725–27,1720,1727,Oil on canvas,"50 x 86 cm. (19 11/16 x 33 7/8 in.)
frame: 70.8 × 108.9 × 6.5 cm (27 7/8 × 42 7/8 × 2 9/16 in.)",Gift of Helen Clay Frick,oil paintings,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1935-4.jpg,y1935-4.jpg
20106,y1935-5,1935    5y,EPS,"Jean-Baptiste Siméon Chardin, French, 1699–1779","Chardin, Jean-Baptiste Siméon",Attributes of the Architect,ca. 1725-27,1720,1727,Oil on canvas,"50 x 86 cm. (19 11/16 x 33 7/8 in.)
frame: 70.8 × 108.9 × 6.2 cm (27 7/8 × 42 7/8 × 2 7/16 in.)",Gift of Helen Clay Frick,paintings,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1935-5.jpg,y1935-5.jpg
21302,y1938-49,1938   49y,ABI,Greek; Hellenistic,Greek; Hellenistic,Breast ornament with bust of Athena,2nd century B.C.,-199,-100,"Gold, garnet, and enamel",diam. 7.9 cm. (3 1/8 in.),Museum purchase,ornament,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1938-49_1.jpg,y1938-49_1.jpg
21305,y1938-50,1938   50y,ABI,Greek; Hellenistic,Greek; Hellenistic,Breast ornament with bust of Artemis,2nd century B.C.,-199,-100,"Gold, garnet, and enamel",diam. 7.9 cm. (3 1/8 in.),Museum purchase,ornament,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1938-50_2.jpg,y1938-50_2.jpg
20821,y1939-35,1939   35y,American,"William Merritt Chase, American, 1849–1916","Chase, William Merritt","Landscape: Shinnecock, Long Island",ca. 1896,1891,1901,Oil on wood panel,"36.3 x 40.9 cm. (14 5/16 x 16 1/8 in.)
frame: 65.1 × 69.3 × 8.5 cm (25 5/8 × 27 5/16 × 3 3/8 in.)","Gift of Francis A. Comstock, Class of 1919",oil paintings,,,artimage.princeton.edu/files/ProductionJpegs/y1939-35_1.jpg,y1939-35_1.jpg
3139,x1940-78.4r,1940   78x    4r,P&D,"Thomas Cole, American, 1801–1848","Cole, Thomas",Crawford Notch,1839,1839,1839,Sketchbook page; graphite on cream wove paper,28.4 x 43 cm. (11 3/16 x 16 15/16 in.),Gift of Frank Jewett Mather Jr.,"drawings, sketchbooks",,,artimage.princeton.edu/files/ProductionJpegs/x1940-78_4r_1.jpg,x1940-78_4r_1.jpg
21699,y1940-430,1940  430y,American,"Albert Bierstadt, American, 1830–1902",Bierstadt Albert,"Mount  Adams, Washington",1875,1875,1875,Oil on canvas,"138 x 213 cm. (54 5/16 x 83 7/8 in.)
frame: 180 × 255.7 × 15.5 cm (70 7/8 × 100 11/16 × 6 1/8 in.)",Gift of Mrs. Jacob N. Beam,oil paintings,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1940-430.jpg,y1940-430.jpg
21730,y1941-51,1941   51y,American,"Thomas Cole, American, 1801–1848","Cole, Thomas",The Course of Empire–The Savage State,ca. 1834,1829,1839,Oil on paper mounted on canvas,"16 x 26 cm. (6 5/16 x 10 1/4 in.)
frame: 29.5 × 39.5 × 4.7 cm (11 5/8 × 15 9/16 × 1 7/8 in.)",Gift of Frank Jewett Mather Jr.,"oil paintings, sketches",,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1941-51.jpg,y1941-51.jpg
3656,x1941-163,1941  163x,P&D,"Jean-François Millet, French, 1814–1875","Millet, Jean-Francois",La Lessiveuse (The Lye-Washer),ca. 1852–53,1852,1853,"Black chalk with stumping, heightened with white, on gray-blue wove paper",43.5 x 32.5 cm. (17 1/8 x 12 13/16 in.),Gift of Frank Jewett Mather Jr.,drawings,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/x1941-163.jpg,x1941-163.jpg
3658,x1941-166,1941  166x,P&D,"Paul Cézanne, French, 1839–1906","Cézanne, Paul",Pine Tree in Front of the Caves above Château Noir,ca. 1900,1885,1905,Watercolor and graphite on cream wove paper,46.5 x 35.5 cm. (18 5/16 x 14 in.),Anonymous gift,"drawings, watercolors",,,artimage.princeton.edu/files/ProductionJpegs/x1941-166_1.jpg,x1941-166_1.jpg
21911,y1942-60,1942   60y,ABI,Middle Byzantine; attributed to the Nikephoros Group,Byzantine; Nikephoros Group,Plaque with the Crucifixion,10th century,900,999,Ivory,13.5 × 8.8 × 0.7 cm (5 5/16 × 3 7/16 × 1/4 in.),Museum purchase,"ivories, plaques (flat objects), reliefs",,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1942-60.jpg,y1942-60.jpg
21946,y1942-62,1942   62y,American,"Childe Hassam, American, 1859–1935","Hassam, Childe","Rainy Day, Fifth Avenue",1916,1916,1916,Oil on canvas,"46 x 39 cm. (18 1/8 x 15 3/8 in.)
frame: 63.5 × 56.2 × 5 cm (25 × 22 1/8 × 1 15/16 in.)","Gift of Albert E. McVitty, Class of 1898",oil paintings,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1942-62.jpg,y1942-62.jpg
21914,y1942-73,1942   73y,Asian,Gandharan,Gandharan,Frieze of musicians,3rd century A.D.,200,299,Schist,"h. 20.0 cm., l. 60.0 cm., w. 5.0 cm. (7 7/8 x 23 5/8 x 1 15/16 in.)",Museum purchase,"friezes (ornamental bands), reliefs",,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1942-73.jpg,y1942-73.jpg
22247,y1943-93,1943   93y,American,"George Inness, American, 1825–1894","Inness, George",The Home of the Heron,1891,1891,1891,Oil on canvas,"107 x 94 cm. (42 1/8 x 37 in.)
frame: 133 × 120 × 13 cm (52 3/8 × 47 1/4 × 5 1/8 in.)","Gift of Victor Stephen Harris, Class of 1940, and David Harris, Class of 1944, in memory of their father, Victor Harris",oil paintings,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1943-93.jpg,y1943-93.jpg
22043,y1943-120,1943  120y,American,"William T. Ranney, American, 1813–1857","Ranney, William T.",Washington Rallying the Americans at the Battle of Princeton,1848,1848,1848,Oil on canvas,"123.0 x 163.0 cm. (48 7/16 x 64 3/16 in.)
frame: 157.0 x 195.3 x 26.4 cm. (61 13/16 x 76 7/8 x 10 3/8 in.)","Gift of Edward Wasserman in honor of his children, Jesse A., Renee H., and Edward Wasserman Jr.","oil paintings, paintings",,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1943-120.jpg,y1943-120.jpg
4713,x1944-18,1944   18x,P&D,"Giovanni Battista Tiepolo, Venice 1696–1770 Madrid","Tiepolo, Giovanni Battista",Woman and Satyr,ca. 1740,1735,1745,Pen and brown ink with brush and brown wash over black chalk on cream laid paper,"28.4 × 36.2 cm. (11 3/16 × 14 1/4 in.)
frame: 45.9 × 61 × 3.2 cm (18 1/16 × 24 × 1 1/4 in.)",Gift of Frank Jewett Mather Jr.,drawings,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/x1944-18.jpg,x1944-18.jpg
22394,y1944-64,1944   64y,EPS,"Odilon Redon, French, 1840–1916","Redon, Odilon",Apparition,1905–10,1905,1910,Oil on canvas,"65.0 x 50.0 cm. (25 9/16 x 19 11/16 in.)
frame: 83.8 x 68.6 cm. (33 x 27 in.)","Museum purchase, John Maclean Magie, Class of 1892, and Gertrude Magie Fund",oil paintings,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1944-64.jpg,y1944-64.jpg
4802,x1944-274,1944  274x,P&D,"Vittore Carpaccio, Venice ca. 1460/66–1525/26 Venice","Carpaccio, Vittore","Two Standing Women, One in Mamluk Dress",1501–08,1501,1508,"Brush and brown ink with brush and gray-brown wash, heightened with white gouache over black chalk, on light brown paper; verso: Brush and brown wash and black chalk, heightened with white gouache on light brown laid paper","23.2 × 12.1 cm. (9 1/8 × 4 3/4 in.)
frame: 51 × 40.6 × 3.5 cm (20 1/16 × 16 × 1 3/8 in.)",Gift of Frank Jewett Mather Jr.,drawings,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/x1944-274_REC.jpg,x1944-274_REC.jpg
22614,y1945-207,1945  207y,American,"John Neagle, American, 1796–1865","Neagle, John",John Kintzing Kane,1828,1828,1828,Oil on canvas,"77 x 64 cm. (30 5/16 x 25 3/16 in.)
frame: 96.3 × 86 × 8 cm (37 15/16 × 33 7/8 × 3 1/8 in.)",Museum purchase,oil paintings,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1945-207.jpg,y1945-207.jpg
22615,y1945-212,1945  212y,American,"Frederic Edwin Church, American, 1826–1900","Church, Frederic Edwin",Passing Shower in the Tropics,1872,1872,1872,Oil on canvas,"31 x 51 cm. (12 3/16 x 20 1/16 in.)
frame: 41.8 × 62.5 × 3.1 cm (16 7/16 × 24 5/8 × 1 1/4 in.)",Museum purchase,oil paintings,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1945-212.jpg,y1945-212.jpg
22079,y1945-274,1945  274y,American,"Randolph Rogers, American, 1825–1892",Rogers Randolph,"Nydia, the Blind Flower Girl of Pompeii",after original model of 1855,1855,1892,Marble,135 × 73.5 × 92.5 cm (53 1/8 × 28 15/16 × 36 7/16 in.),Gift of Dr. J. Ackerman Coles and Emily Coles,sculptures,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1945-274_FRN1.jpg,y1945-274_FRN1.jpg
23197,y1946-78,1946   78y,American,"William Rush, American, 1756–1833","Rush, William",George Washington,ca. 1817,1812,1822,Painted plaster,69 × 49 × 36.5 cm (27 3/16 × 19 5/16 × 14 3/8 in.),"Museum purchase, John Maclean Magie, Class of 1892, and Gertrude Magie Fund","busts, portraits",,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1946-78_OBL.jpg,y1946-78_OBL.jpg
22781,y1946-104,1946  104y,American,"Asher Brown Durand, American, 1796–1886","Durand, Asher Brown",Kaaterskill Landscape,1850,1850,1850,Oil on canvas,"54 x 44 cm. (21 1/4 x 17 5/16 in.)
frame: 77.2 × 67.2 × 8.5 cm (30 3/8 × 26 7/16 × 3 3/8 in.)","Museum purchase, John Maclean Magie, Class of 1892, and Gertrude Magie Fund",oil paintings,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1946-104.jpg,y1946-104.jpg
22886,y1946-191,1946  191y,Asian,"Chinese; Northern Song dynasty, 960–1127; Li Gongnian ???, active early 12th century",Chinese; Northern Song; Li Gongnian,Winter Evening Landscape,ca. 1120,1115,1125,Hanging scroll; ink and light colors on silk,"Painting: 129.6 x 48.3 cm. (51 x 19 in.)
Mount: 202.5 x 62.2 cm. (79 3/4 x 24 1/2 in.)","Gift of DuBois Schanck Morris, Class of 1893","Chinese painting styles, hanging scrolls, scroll paintings",,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1946-191.jpg,y1946-191.jpg
5509,x1946-268,1946  268x,P&D,"Edward Hopper, American, 1882–1967","Hopper, Edward",Universalist Church,1926,1926,1926,Watercolor over graphite on cream wove paper,35.6 x 50.8 cm. (14 x 20 in.),Laura P. Hall Memorial Collection,watercolors,,,artimage.princeton.edu/files/ProductionJpegs/\STU00688.jpg,STU00688.jpg
5237,x1947-28,1947   28x,P&D,"George Romney, British, 1734–1802; formerly attributed to William Blake, British, 1757–1827","Romney, George; Blake William",The Origin of Painting,ca. 1775–80,1775,1780,Pen and brown ink and brush and gray wash on tan laid paper,51.7 x 32.2 cm. (20 3/8 x 12 11/16 in.),Gift of Frank Jewett Mather Jr.,drawings,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/x1947-28.jpg,x1947-28.jpg
23553,y1947-74,1947   74y,Asian,"Chinese; Ming dynasty, 1368–1644; Wang E ??, active ca. 1488–ca. 1541",Chinese; Ming dynasty; Wang E,Winter in the Mountains (Dong jing shanshui ????),after 1510,1511,1521,Hanging scroll; ink and light colors on silk,Painting: 183 x 104 cm. (72 1/16 x 40 15/16 in.),"Gift of DuBois Schanck Morris, Class of 1893","Chinese painting styles, hanging scrolls, scroll paintings",,photo: Masatsugu Nokubo,artimage.princeton.edu/files/ProductionJpegs/y1947-74.jpg,y1947-74.jpg
5253,x1947-184,1947  184x,P&D,"Samuel Palmer, British, 1805–1881","Palmer, Samuel",Moonlit Landscape,ca. 1828–30,1828,1830,"Brush and brown wash, over graphite, on cream wove paper",9.4 x 11.5 cm. (3 11/16 x 4 1/2 in.),Gift of Frank Jewett Mather Jr.,drawings,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/x1947-184.jpg,x1947-184.jpg
23270,y1947-207,1947  207y,American,"John Frazee, American, 1790–1852","Frazee, John",Andrew Jackson,1834,1834,1834,Plaster,"33 × 22 × 28 cm (13 × 8 11/16 × 11 in.)
base: 11 × 21 × 23.3 cm (4 5/16 × 8 1/4 × 9 3/16 in.)","Museum purchase, John Maclean Magie, Class of 1892, and Gertrude Magie Fund","portraits, sculptures",,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1947-207.jpg,y1947-207.jpg
23342,y1947-245,1947  245y,Asian,"Chinese; Ming dynasty, 1368–1644; Tang Yin ??, 1470–1524",Chinese; Ming dynasty; Tang Yin,Seeing Off a Guest on a Mountain Path (Shanlu song ke ????),undated; ca. 1505–10,1500,1515,Hanging scroll; ink and light colors on silk,"Painting: 118 x 61 cm. (46 7/16 x 24 in.)
Mount: 263.5 x 71.2 cm. (103 3/4 x 28 1/16 in.)","Gift of DuBois Schanck Morris, Class of 1893","Chinese painting styles, hanging scrolls, scroll paintings",,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1947-245.jpg,y1947-245.jpg
23727,y1948-8,1948    8y,ABI,"Greek, possibly Athenian",Greek,Statuette of a horse and rider,early 5th century B.C.,-499,-470,Cast bronze,"h. 8.3 cm., w. 2.5 cm., l. 7.5 cm. (3 1/4 x 1 x 2 15/16 in.)",Gift of Frank Jewett Mather Jr.,statues,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1948-8.jpg,y1948-8.jpg
8047,x1948-598,1948  598x,P&D,"Federico Barocci, Urbino ca. 1535–1612 Urbino",Barocci Federico,Studies for Saint Sebastian,ca. 1592–96,1587,1597,"Black chalk and charcoal, heightened with white chalk, with stumping and touches of red chalk, on tan laid paper prepared with a medium brown wash, squared in black chalk","42.5 × 26.3 cm. (16 3/4 × 10 3/8 in.)
frame: 61.1 × 45.7 × 3.2 cm (24 1/16 × 18 × 1 1/4 in.)","Bequest of Dan Fellows Platt, Class of 1895","drawings, studies (visual works)",,,artimage.princeton.edu/files/ProductionJpegs/x1948-598_1.jpg,x1948-598_1.jpg
7748,x1948-667,1948  667x,P&D,"Bertoia (Jacopo Zanguidi), Parma 1544–1573/74 Parma",Bertoia,Seated Madonna and Child and Various Studies,ca. 1570–71,1565,1576,"Pen and brown ink and brush and brown wash on light tan laid paper; verso: Pen and brown ink, brush and brown wash, and red chalk, on light tan laid paper","40.6 × 27.1 cm. (16 × 10 11/16 in.)
frame: 61.8 × 46.5 × 4.3 cm (24 5/16 × 18 5/16 × 1 11/16 in.)","Bequest of Dan Fellows Platt, Class of 1895","drawings, studies (visual works)",,,artimage.princeton.edu/files/ProductionJpegs/x1948-667_REC.jpg,x1948-667_REC.jpg
8161,x1948-734,1948  734x,P&D,"Guercino (Giovanni Francesco Barbieri), Cento 1591–1666 Bologna",Guercino,Study for the Martyrdom of Saint Bartholomew,1635–36,1635,1636,Pen and brown ink and brush and brown wash on cream laid paper,"20.3 × 25.5 cm. (8 × 10 1/16 in.)
frame: 42.1 × 54.8 × 2.9 cm (16 9/16 × 21 9/16 × 1 1/8 in.)","Bequest of Dan Fellows Platt, Class of 1895","drawings, studies (visual works)",,,artimage.princeton.edu/files/ProductionJpegs/x1948-734_1.jpg,x1948-734_1.jpg
8421,x1948-904,1948  904x,P&D,"Domenico Tiepolo, Venice 1727–1804 Venice","Tiepolo, Domenico",The Doctor's Visit,ca. 1791,1786,1796,"Pen and brown ink with brush and gray brown wash over black chalk, on beige laid paper","35.1 × 47.8 cm. (13 13/16 × 18 13/16 in.)
frame: 51.6 × 66.8 × 2.9 cm (20 5/16 × 26 5/16 × 1 1/8 in.)","Bequest of Dan Fellows Platt, Class of 1895",drawings,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/x1948-904.jpg,x1948-904.jpg
6306,x1948-1294,1948 1294x,P&D,"Guercino (Giovanni Francesco Barbieri), Cento 1591–1666 Bologna",Guercino,Boy in a Large Hat,1630s–40s,1630,1649,Pen and brown ink with brush and brown wash on beige laid paper,16.5 × 12.1 cm. (6 1/2 × 4 3/4 in.),"Bequest of Dan Fellows Platt, Class of 1895",drawings,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/x1948-1294.jpg,x1948-1294.jpg
8740,x1949-42,1949   42x,P&D,"Pordenone (Giovanni Antonio de Sacchis), Pordenone 1483/84–1539 Ferrara","Pordenone de' Sacchis, Giovanni Antonio",Standing Saint Roch: Study for the Saint Gothard Altarpiece,ca. 1525–26,1520,1530,"Red chalk on light tan paper, squared in a lighter tone of red chalk","26.3 × 15.6 cm. (10 3/8 × 6 1/8 in.)
frame: 54.3 × 41.6 × 2.9 cm (21 3/8 × 16 3/8 × 1 1/8 in.)","Bequest of Dan Fellows Platt, Class of 1895","drawings, studies (visual works)",,,artimage.princeton.edu/files/ProductionJpegs/x1949-42.jpg,x1949-42.jpg
23700,y1949-108,1949  108y,American,"Thomas Sully, American, born England, 1783–1872",Sully Thomas,Mrs. Reverdy Johnson,ca. 1840,1835,1845,Oil on canvas,"239.0 x 150.0 cm. (94 1/8 x 59 1/16 in.)
frame: 290.8 x 201.9 x 15.2 cm. (114 1/2 x 79 1/2 x 6 in.)","Museum purchase with funds given by twenty-one Friends of the University, aided by the Caroline G. Mather Fund","oil paintings, portraits",,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1949-108.jpg,y1949-108.jpg
23705,y1949-110,1949  110y,ABI,Roman; Early Antonine,Roman; Antonine,Front panel of a sarcophagus with scenes from the life of Dionysos,ca. 140 – 160 A.D.,140,160,"Fine-grained, opaque white marble with faint dark veining, probably Proconnesian","h. 38.5 cm., w. 150.5 cm., d. 5.5 cm. (15 3/16 x 59 1/4 x 2 3/16 in.)
floor: d. 4.5 cm. (1 3/4 in.)","Museum purchase, John Maclean Magie, Class of 1892, and Gertrude Magie Fund","funerary objects, sarcophagi",,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1949-110.jpg,y1949-110.jpg
23744,y1949-117,1949  117y,EPS,French,French,"Capital from the Church of Sainte Madeleine, Vézelay",1140s,1140,1149,Stone,"h. 24.1 cm. (9 1/2 in.)
upper surface: 25.0 x 19.0 cm. (9 13/16 x 7 1/2 in.)","Museum purchase, gift of Gordon McCormick, Class of 1917","architectural elements, capitals and capital components",,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1949-117.jpg,y1949-117.jpg
23367,y1950-1,1950    1y,EPS,"Herri Met de Bles, Flemish, ca. 1510–after 1550","Met de Bles, Herri",The Road to Calvary,ca. 1535,1530,1540,Oil on wood panel,"82.2 x 114.3 cm. (32 3/8 x 45 in.)
frame: 105.4 x 137.2 x 13.3 cm. (41 1/2 x 54 x 5 1/4 in.)","Museum purchase, gift of the Friends of the Princeton University Art Museum",oil paintings,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1950-1.jpg,y1950-1.jpg
23368,y1950-10,1950   10y,ABI,"Greek, Attic; in the manner of the Berlin Painter",Attic; Berlin Painter,Panathenaic amphora,ca. 500–490 B.C.,-500,-490,Ceramic,"h. 62.4 cm., diam. 41.1 cm. (24 9/16 x 16 3/16 in.)
diam. mouth 18.0 cm. (7 1/16 in.) 
diam. foot 13.9 cm. (5 1/2 in.)",Bequest of Mrs. Allan Marquand,Panathenaic amphorae,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1950-10_b.jpg,y1950-10_b.jpg
23888,y1950-66,1950   66y,Asian,"Chinese; Southern Song dynasty, 1127–1279",Chinese; Southern Song,Guanyin seated in Royal-ease pose,ca. 1250,1200,1300,"Wood with traces of blue-green, red, and gold pigments on white clay underlayer with relief designs","h. 110.0 cm., approx w. 79.0 cm., approx d. 50.0 cm. (43 5/16 x 31 1/8 x 19 11/16 in.)","Museum purchase, Carl Otto von Kienbusch Jr., Memorial Collection",statues,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1950-66_OBL.jpg,y1950-66_OBL.jpg
42128,y1951-28,1951   28y,P&D,Ethiopian,Ethiopian,Illuminated Manuscript,18th century,1700,1799,"Vellum, tempera, and leather binding",32 x 22 x 6 cm. (12 5/8 x 8 11/16 x 2 3/8 in.),Gift of Frank Jewett Mather Jr.,manuscripts,,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1951-28_92.jpg,y1951-28_92.jpg
24418,y1952-58,1952   58y,Asian,"Chinese; Western Zhou dynasty, 11th century–771 B.C.",Chinese; Western Zhou,Wine vessel (zun),late 10th century B.C.,-1099,-900,Bronze,"h. 16.4 cm., diam. lip 16.9 cm. (6 7/16 x 6 5/8 in.)","Museum purchase, Carl Otto von Kienbusch Jr., Memorial Collection Fund","bronzes, drinking vessels, zun",,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1952-58.jpg,y1952-58.jpg
24317,y1952-59,1952   59y,Asian,"Japanese; Kamakura period, 1185–1333",Japanese; Kamakura period,Welcoming descent of Amida  ( ??????),14th century,1300,1399,"Hanging scroll; ink, color, gold, and silver on silk","124.5 x 66 cm. (49 x 26 in.)
frame: 225 × 92.7 × 4.8 cm (88 9/16 × 36 1/2 × 1 7/8 in.)","Museum purchase, Carl Otto von Kienbusch Jr., Memorial Collection","hanging scrolls, Japanese painting styles, scroll paintings",,photo Bruce M. White,artimage.princeton.edu/files/ProductionJpegs/y1952-59.jpg,y1952-59.jpg
